year,title,link,DONE
1808,"Поваренный календарь, или Самоучитель повареннаго искуства, содержащий наставление к приготовлению снедей на каждый день в году, для стола домашняго и гостинаго. Ч. 5. [Декабрь - Генварь]",https://www.prlib.ru/item/1332190,0
1808,Карманной почтовой атлас всей Российской Империи разделенной на губернии,https://www.prlib.ru/item/417457,1
1808,"Жизнь князя Григория Александровича Потемкина Таврическаго,. Кн. 1",https://www.prlib.ru/item/712002,0
1808,"Ежедневные наблюдения. Месячные и годовые выводы. 1808. Январь-декабрь. Метеорологические наблюдения, учиненные при Императорской Санкт-Петербургской Академии наук",https://www.prlib.ru/item/887761,0
1808,"Дух великаго Суворова, или Анекдоты подлинныя о князе италийском графе Александре Васильевиче Суворове Рымникском, изображающее в себе отличныя его деяния, великодушныя и добродетельныя поступки, остроумные ответы, великие предприятия и важные примеры в лучших чертах его жизни, которые приносят честь Геройству решительности и военным деяниям его украшавшим с приобщением: описания его портрета, характера, краткой истории о рождении, свойствах, походах, сражениях по самую кончину и всех достопамятных и любопытных произшествий, в течении его домашней и военной жизни случившихся, с присовокуплением: безсмертнаго его сочинения Тактики или Науки искусно побеждать и Переписки Суворова с разными знаменитыми особами",https://www.prlib.ru/item/331677,1
1808,Драматический вестник. Ч. 1,https://www.prlib.ru/item/1271961,0
1808,Рассуждение о русском языке. Ч. 1,https://www.prlib.ru/item/361775,1
1808,"Доклад Комитета о усовершении духовных училищ, и начертание правил о образовании сих училищ и содержании духовенства при церквах служащаго,",https://www.prlib.ru/item/407661,0
1808,"Статистическое описание Российской империи в нынешнем ея состоянии с предварительными понятиями о статистике и о Европе вообще в статистическом виде,. Кн. 2, ч. 5. Разсуждающая о рукоделиях, фабриках и торговле с некоторыми другими предметами",https://www.prlib.ru/item/715235,0
1808,"Поваренный календарь, или Самоучитель повареннаго искуства, содержащий наставление к приготовлению снедей на каждый день в году, для стола домашняго и гостинаго. Ч. 4. [Октябрь - Ноябрь]",https://www.prlib.ru/item/1332206,0
1808,"Географический словарь Российскаго государства, сочиненный в настоящем онаго виде. Ч. 6. Т-Х",https://www.prlib.ru/item/1892360,1
1808,"Слово на высокоторжественный день тезоименитства Его Императорского Величества, благочестивейшего Великого государя императора Александра I, сочиненное синодальным членом, преосвященным Феофилактом, епископом Калужским и Боровским, и кавалером",https://www.prlib.ru/item/366049,0
1808,"Краткий российский дорожник,",https://www.prlib.ru/item/425569,0
1808,Основательное сокращение российской грамматики,https://www.prlib.ru/item/355336,0
1808,"Поваренный календарь, или Самоучитель повареннаго искуства, содержащий наставление к приготовлению снедей на каждый день в году, для стола домашняго и гостинаго. Ч. 1 . [Апрель - Май]",https://www.prlib.ru/item/1332202,0
1808,"Слово на высокоторжественный день коронования и священнаго миропомазания Его Величества, благочестивейшаго Государя Императора Александра Павловича, самодержца всероссийскаго и супруги Его, благочестивейшия Государыни Императрицы Елисаветы Алексеевны, говоренное находящимся на чреде священнослужения и проповеди слова Божия, и исправляющим должность ректора Александро-Невской академии, Московской епархии, Волоколамского Иосифова монастыря архимандритом, Троицкой Сергиево-Лаврской семинарии ректором Евграфом, в Санкт-Петербургском Казанском соборе, 1808 года",https://www.prlib.ru/item/366048,0
1808,"Описание заводов, под ведомством Екатеринбургскаго горнаго начальства состоявших",https://www.prlib.ru/item/434707,0
1808,"Жизнь князя Григория Александровича Потемкина Таврическаго,. Кн. 2",https://www.prlib.ru/item/712003,0
1808,[О дворянстве],https://www.prlib.ru/item/467391,0
1808,"Жизнь князя Григория Александровича Потемкина Таврическаго,. Кн. 3. [Прибавления]",https://www.prlib.ru/item/715234,0
1809,Записка Сперанского от 26 мая о правах иностранцев,https://www.prlib.ru/item/411901,0
1809,"Словарь Академии Российской, по азбучному порядку расположенный. Ч. 2. Д - К",https://www.prlib.ru/item/797614,1
1809,"Историческое подробное описание, Произшествий о убиении. Святаго благовернаго царевича Димитрия Иоанновича. Последовавшем в городе Угличе. с присовокуплением к тому Обретения Святых его Мощей. Пренесения их из Углича в Москву и О бывших в России после убиения мятежах, произшедших чрез открывшихся. Самозванцов",https://www.prlib.ru/item/959117,0
