Год издания,title,url,Availability,Библиографическое описание,Тип издания,Коллекции,Автор,Заглавие,Number_of_Images,Images
,Археологическая карта бассейна реки Пола в пределах Овсянского уезда,http://elib.shpl.ru/ru/nodes/59327-arheologicheskaya-karta-basseyna-reki-pola-v-predelah-ovsyanskogo-uezda,1,,карта,,,,1,3882953
,Археологическая карта Кубанской области,http://elib.shpl.ru/ru/nodes/56809-arheologicheskaya-karta-kubanskoy-oblasti,1,,карта,,,,1,3800070
,Астрабадский залив,http://elib.shpl.ru/ru/nodes/12495-astrabadskiy-zaliv,1,,карта,,,,1,1339008
,Астрахань,http://elib.shpl.ru/ru/nodes/258-astrahan,1,,карта,,,,1,87323
,Астрахань,http://elib.shpl.ru/ru/nodes/2952-astrahan,1,,карта,,,,2,"328382, 1013711"
,Атака UB-7 и UB-8 русского флота во время обстрела им Варны 27 октября 1915 г.,http://elib.shpl.ru/ru/nodes/81553-ataka-ub-7-i-ub-8-russkogo-flota-vo-vremya-obstrela-im-varny-27-oktyabrya-1915-g,1,,карта,,,,1,4903031
,Атака Горного Дубняка,http://elib.shpl.ru/ru/nodes/75880-ataka-gornogo-dubnyaka,1,,карта,,,,1,4624106
,Атака западным отрядом укрепленного лагеря под Плевной 26-31 августа 1877 г.,http://elib.shpl.ru/ru/nodes/55561-ataka-zapadnym-otryadom-ukreplennogo-lagerya-pod-plevnoy-26-31-avgusta-1877-g,1,,карта,,,,1,3733718
,Атака западным отрядом укрепленного лагеря под Плевной 26-31 августа 1877 г. Третий бой под Плевной,http://elib.shpl.ru/ru/nodes/55562-ataka-zapadnym-otryadom-ukreplennogo-lagerya-pod-plevnoy-26-31-avgusta-1877-g-tretiy-boy-pod-plevnoy,1,,карта,,,,1,3733719
,Атака латышского стрелкового полка утром 21 октября 1919 г.,http://elib.shpl.ru/ru/nodes/64605-ataka-latyshskogo-strelkovogo-polka-utrom-21-oktyabrya-1919-g,1,,карта,,,,1,4048937
,Атака отряда курсантов на Детское село 23 октября 1919 г.,http://elib.shpl.ru/ru/nodes/64606-ataka-otryada-kursantov-na-detskoe-selo-23-oktyabrya-1919-g,1,,карта,,,,1,4048938
,"Атака Пола, инж. Россети 1 ноября 1918 г.",http://elib.shpl.ru/ru/nodes/90042-ataka-pola-inzh-rosseti-1-noyabrya-1918-g,1,,карта,,,,1,5297739
,Аткарск Саратовской губернии,http://elib.shpl.ru/ru/nodes/774-atkarsk-saratovskoy-gubernii,1,,карта,,,,1,215564
,Атлас карт и планов к III тому перевода. – Б.г. ,http://elib.shpl.ru/ru/nodes/95041-atlas-kart-i-planov-k-iii-tomu-perevoda-locale-nil-b-g,1,"Германо-Французская война 1870-71 / сост. Воен.-ист. отд-нием Большого ген. штаба; пер. с нем. под ред. и с примеч. Ген. штаба ген.-майора Сухотина. – СПб.: Военная типография Главного штаба, 1890. – ; 22 см.  Первые 9 вып. изд. под загл.: Франко-Немецкая война 1870-71. Атлас карт и планов к III тому перевода. – Б.г. – 28 л. к., план.","карта (2938)  книжное издание, архивный документ",,,Атлас карт и планов к III тому перевода,32,"5590205, 5590206, 5590207, 5590208, 5590209, 5590210, 5590211, 5590212, 5590213, 5590214, 5590215, 5590216, 5590217, 5590218, 5590219, 5590220, 5590221, 5590222, 5590223, 5590224, 5590225, 5590226, 5590227, 5590228, 5590229, 5590230, 5590231, 5590232, 5590233, 5590234, 5590235, 5590236"
1901,"Атлас карт к Военному обозрению Финляндского военного округа. – Гельсингфорс, 1901.",http://elib.shpl.ru/ru/nodes/101435-atlas-kart-k-voennomu-obozreniyu-finlyandskogo-voennogo-okruga-locale-nil-gelsingfors-1901,1,"Альфтан, Макс Федорович. Военное обозрение Финляндского военного округа / сост. Ген. штаба полк. М. Ф. Альфтан, при содействии Л.-гв. 3 Стрелкового фин. батальона кап. О. Весандера. – Гельсингфорс: Типография Штаба Финляндского военного округа, 1901. – ; 25 см. – Не подлежит оглашению . Атлас карт к Военному обозрению Финляндского военного округа. – Гельсингфорс: Акционерное общество Ф. Тильгмана, 1901. – 1 атл. (152 с.): цв. к.; 44x31 см.","карта (2938)  книжное издание, архивный документ",,,Атлас карт к Военному обозрению Финляндского военного округа [Карта],128,"5869285, 5869286, 5869287, 5869288, 5869289, 5869290, 5869291, 5869292, 5869293, 5869294, 5869295, 5869296, 5869297, 5869298, 5869299, 5869300, 5869301, 5869302, 5869303, 5869304, 5869305, 5869306, 5869307, 5869308, 5869309, 5869310, 5869311, 5869312, 5869313, 5869314, 5869315, 5869316, 5869317, 5869318, 5869319, 5869320, 5869321, 5869322, 5869323, 5869324, 5869325, 5869326, 5869327, 5869328, 5869329, 5869330, 5869331, 5869332, 5869333, 5869334, 5869335, 5869336, 5869337, 5869338, 5869339, 5869340, 5869341, 5869342, 5869343, 5869344, 5869345, 5869346, 5869347, 5869348, 5869349, 5869350, 5869351, 5869352, 5869353, 5869354, 5869355, 5869356, 5869357, 5869358, 5869359, 5869360, 5869361, 5869362, 5869363, 5869364, 5869365, 5869366, 5869367, 5869368, 5869369, 5869370, 5869371, 5869372, 5869373, 5869374, 5869375, 5869376, 5869377, 5869378, 5869379, 5869380, 5869381, 5869382, 5869383, 5869384, 5869385, 5869386, 5869387, 5869388, 5869389, 5869390, 5869391, 5869392, 5869393, 5869394, 5869395, 5869396, 5869397, 5869398, 5869399, 5869400, 5869401, 5869402, 5869403, 5869404, 5869405, 5869406, 5869407, 5869408, 5869409, 5869410, 5869411, 5869412"
