year,title,link
1871,"Устав духовных консисторий, изъясненный 1. Полным собранием свода законов Российской империи. 2. Статьями духовного регламента. 3. Указами святейшего Синода...",https://www.prlib.ru/item/459901
1871,"Отечественные записки. Г. 33 1871, т. 194, № 1",https://www.prlib.ru/item/737669
1871,Архив князя Воронцова. Кн. 3. Бумаги графа Михайла Ларионовича Воронцова,https://www.prlib.ru/item/397194
1871,Состояние России при нынешнем царе,https://www.prlib.ru/item/450930
1871,О личных обязательствах,https://www.prlib.ru/item/429929
1871,"Вологодские губернские ведомости. 1871, № 16 [10 апр.]",https://www.prlib.ru/item/326582
1871,"Иркутские губернские ведомости. 1875, № 19",https://www.prlib.ru/item/413937
1871,"Иркутские губернские ведомости. 1871, № 5",https://www.prlib.ru/item/416298
1871,Журналы Орловского губернского земского собрания .... 5-го очередного ... 1870 года. Сессия 5-я,https://www.prlib.ru/item/409751
1871,Доклады Тульской губернской земской управы ... Губернскому земскому собранию. седьмому очередному ... [1871 года. Кн. 2],https://www.prlib.ru/item/713603
1871,Устав о воинской повинности,https://www.prlib.ru/item/459955
1871,Описание Оранского Богородицкого первоклассного монастыря,https://www.prlib.ru/item/355086
1871,О русском алфавите,https://www.prlib.ru/item/353789
1871,Московские смуты в правление царевны Софии Алексеевны,https://www.prlib.ru/item/428244
1871,"Вологодские губернские ведомости. 1871, № 21 [15 мая]",https://www.prlib.ru/item/326588
1871,"Лоция Индийского океана. Отд. 9. Явайское море и проливы: Банка, Гаспарский, Рио, Дориан или Драйон, Сабун, Мандоль, Бреверс, Малакский и Сингапурский, с описанием рейдов и города Сингапур",https://www.prlib.ru/item/846837
1871,Царствование Федора Алексеевича. Ч. 1. Введение; Обзор источников,https://www.prlib.ru/item/460858
1871,"Сборник Херсонского земства. 1871, № 4",https://www.prlib.ru/item/831842
1871,Материалы для истории Крымской войны и обороны Севастополя. Вып. 2,https://www.prlib.ru/item/426857
1871,"Иркутские губернские ведомости. 1871, № 1",https://www.prlib.ru/item/416120
1871,Семья и школа. [Г. 1]. 1871. [Т. 2]. № 8. Октябрь,https://www.prlib.ru/item/443979
1871,"Вологодские губернские ведомости. 1871, № 33 [7 авг.]",https://www.prlib.ru/item/326601
1871,"Русский вестник. [Т. 95, октябрь]",https://www.prlib.ru/item/363062
1871,"Полный свод судебных уставов, [высочайше утвержденных 20 ноября 1864 г.]",https://www.prlib.ru/item/437959
1871,"Русская старина. Г. 2 1871, т. 4, [кн. 7-12, июль-декабрь]",https://www.prlib.ru/item/362569
1871,"Вологодские губернские ведомости. 1871, № 46 [6 нояб.]",https://www.prlib.ru/item/326615
1871,"Отчет по взаимному земскому страхованию от огня строений, состоящих в Новгородской губернии и принадлежащих частным лицам, добровольно предъявившим их на страх в период времени .... [за четвертый страховой год], с 1 января 1869 по 1 января 1870 года",https://www.prlib.ru/item/435527
1871,Смета денежных земских повинностей Самарской губернии .... на 1872 год,https://www.prlib.ru/item/446101
1871,"Иркутские губернские ведомости. 1871, № 12",https://www.prlib.ru/item/416143
1871,Устав Иоанно-Богословского православного Кальценаусского братства,https://www.prlib.ru/item/459908
1871,"Вологодские губернские ведомости. 1871, № 42 [9 окт.]",https://www.prlib.ru/item/326611
1871,"Вологодские губернские ведомости. 1871, № 10 [27 февр.]",https://www.prlib.ru/item/326576
1871,"Вологодские губернские ведомости. 1871, № 52 [18 дек.]",https://www.prlib.ru/item/326622
1871,[Сметы и раскладки по Весьегонскому уезду].... ... на 1872 год.,https://www.prlib.ru/item/394486
1871,"Вологодские губернские ведомости. 1871, № 13 [20 марта]",https://www.prlib.ru/item/326579
1871,"Вологодские губернские ведомости. 1871, № 26 [19 июня]",https://www.prlib.ru/item/326593
1871,"Иркутские губернские ведомости. 1875, № 25",https://www.prlib.ru/item/413944
1871,Доклады Аткарской уездной земской управы ... Аткарскому уездному земскому собранию .... экстренному ... июня 15 дня 1871 года,https://www.prlib.ru/item/407797
1871,"Журналы ... Усманского земского собрания .... ...очередного, бывшего в сентябре 1870 года и экстренного 15-16 февраля 1871 года",https://www.prlib.ru/item/714468
1871,"Вологодские губернские ведомости. 1871, № 14 [27 марта]",https://www.prlib.ru/item/326580
